suite,scenario,n_nodes,ratio,net,epoch_len_blocks,variant,use_quarantine,gossip_pairs_normal,gossip_pairs_quarantine,K_converge,L_score_window,sim_time_s,block_interval_s,partition_start_s,partition_end_s,n_runs,success_end_rate,success_converged_rate,recovery_mean_s,recovery_p50_s,recovery_p95_s,runtime_mean_ms,runtime_p50_ms,runtime_p95_ms,broadcast_blocks_sent_mean,broadcast_blocks_sent_p50,broadcast_blocks_sent_p95,gossip_blocks_sent_mean,gossip_blocks_sent_p50,gossip_blocks_sent_p95,gossip_pairs_mean,gossip_pairs_p50,gossip_pairs_p95,total_bytes_est_mean,total_bytes_est_p50,total_bytes_est_p95,max_reorg_depth_mean,max_reorg_depth_p95,max_fork_peak_mean,max_fork_peak_p95,max_equivocations_total_max_mean,max_equivocations_total_max_p95,nodes_quarantine_end_mean,nodes_quarantine_end_p95
ratios_noisy,CaseA_50_50,20,0.5,noisy,30,Both,True,1,4,30,40,3600.0,30.0,1200.0,2400.0,1000,0.848,1.0,82.56959036239161,71.0,172.0,439.55154611123726,434.5927885733545,548.4589010942727,1849.885,1847.0,2135.0,503.049,497.0,664.05,6711.271,6140.0,8617.1,588233.5,587750.0,682762.5,13.241,18.0,8.765,12.0,0.0,0.0,18.618,20.0
ratios_noisy,CaseA_50_50,20,0.5,noisy,30,Gossip_only,False,4,4,30,40,3600.0,30.0,1200.0,2400.0,1000,0.837,1.0,77.79600658339457,67.0,152.04999999999995,438.6353742717765,435.4882549960166,537.5914414180443,1837.645,1830.0,2134.0,508.144,506.0,663.0,9408.421,9408.0,9429.0,586447.25,584500.0,683775.0,13.464,18.0,8.085,11.0,0.0,0.0,0.0,0.0
ratios_noisy,CaseA_50_50,20,0.5,noisy,30,NoQ,False,1,1,30,40,3600.0,30.0,1200.0,2400.0,1000,0.591,1.0,189.891,170.0,344.04999999999995,360.350187886972,352.252384647727,483.94937664270384,1842.679,1844.0,2137.05,485.68,481.0,649.0999999999999,2351.975,2352.0,2363.0,582089.75,582875.0,677500.0,13.553,19.0,9.559,13.0,0.0,0.0,0.0,0.0
ratios_noisy,CaseA_50_50,20,0.5,noisy,30,Q_only,True,1,1,30,40,3600.0,30.0,1200.0,2400.0,1000,0.581,1.0,194.2160163849568,171.0,365.0999999999999,353.1627183179371,349.81522848829627,448.85523770935833,1843.329,1842.5,2124.0,489.292,480.0,655.05,2352.161,2352.0,2363.0,583155.25,582625.0,678500.0,13.616,18.0,9.55,13.0,0.0,0.0,18.813,20.0
ratios_noisy,CaseB_80_20,20,0.8,noisy,30,Both,True,1,4,30,40,3600.0,30.0,1200.0,2400.0,1000,0.847,1.0,75.04643930307331,61.0,166.0,436.45410477602854,433.8994591962546,544.2230870947242,1980.155,1990.5,2284.05,371.646,367.0,485.0,6713.862,6141.5,8615.35,587950.25,590875.0,680287.5,7.626,12.0,9.745,13.0,0.0,0.0,18.278,20.0
ratios_noisy,CaseB_80_20,20,0.8,noisy,30,Gossip_only,False,4,4,30,40,3600.0,30.0,1200.0,2400.0,1000,0.858,1.0,69.78639941946967,57.0,154.04999999999995,443.03432734077796,438.3189473301172,539.9117377353832,1983.349,1976.5,2314.05,379.077,377.0,489.0,9408.32,9408.0,9429.0,590606.5,588750.0,689750.0,7.754,12.0,9.282,13.0,0.0,0.0,0.0,0.0
ratios_noisy,CaseB_80_20,20,0.8,noisy,30,NoQ,False,1,1,30,40,3600.0,30.0,1200.0,2400.0,1000,0.599,1.0,167.8993250182583,145.0,329.0999999999999,330.16283529251814,327.90384953841567,412.95626081991935,1985.785,1981.0,2320.1499999999996,361.228,357.0,484.04999999999995,2352.047,2352.0,2363.0,586753.25,584125.0,687012.5,7.874,12.0,10.619,15.0,0.0,0.0,0.0,0.0
ratios_noisy,CaseB_80_20,20,0.8,noisy,30,Q_only,True,1,1,30,40,3600.0,30.0,1200.0,2400.0,1000,0.607,1.0,169.5513250182583,147.0,338.04999999999995,348.7847456964664,345.16963292844594,437.8796177683398,1985.568,1987.0,2290.1,360.882,355.5,483.0,2352.106,2352.0,2363.0,586612.5,587000.0,680537.5,7.844,12.0,10.658,14.049999999999955,0.0,0.0,18.493,20.0
ratios_noisy,CaseC_90_10,20,0.9,noisy,30,Both,True,1,4,30,40,3600.0,30.0,1200.0,2400.0,1000,0.843,1.0,69.12330944565305,56.0,151.0,439.05214881990105,441.3054874166846,559.3434811802581,2090.462,2090.5,2404.1,326.987,323.0,423.04999999999995,6714.906,6138.0,8618.099999999999,604362.25,603125.0,697787.5,5.862,10.0,10.397,14.0,0.0,0.0,18.287,20.0
ratios_noisy,CaseC_90_10,20,0.9,noisy,30,Gossip_only,False,4,4,30,40,3600.0,30.0,1200.0,2400.0,1000,0.839,1.0,66.40625564511825,55.0,146.0,457.7801912431605,453.81321059539914,565.2866576332599,2097.47,2084.5,2448.25,334.686,335.0,428.0,9408.198,9408.0,9429.0,608039.0,606000.0,707512.5,6.032,11.0,9.681,14.0,0.0,0.0,0.0,0.0
