suite,scenario,n_nodes,ratio,net,epoch_len_blocks,variant,use_quarantine,gossip_pairs_normal,gossip_pairs_quarantine,K_converge,L_score_window,sim_time_s,block_interval_s,partition_start_s,partition_end_s,n_runs,success_end_rate,success_converged_rate,recovery_mean_s,recovery_p50_s,recovery_p95_s,runtime_mean_ms,runtime_p50_ms,runtime_p95_ms,broadcast_blocks_sent_mean,broadcast_blocks_sent_p50,broadcast_blocks_sent_p95,gossip_blocks_sent_mean,gossip_blocks_sent_p50,gossip_blocks_sent_p95,gossip_pairs_mean,gossip_pairs_p50,gossip_pairs_p95,total_bytes_est_mean,total_bytes_est_p50,total_bytes_est_p95,max_reorg_depth_mean,max_reorg_depth_p95,max_fork_peak_mean,max_fork_peak_p95,max_equivocations_total_max_mean,max_equivocations_total_max_p95,nodes_quarantine_end_mean,nodes_quarantine_end_p95
scaling_caseA_noisy,CaseA_50_50,20,0.5,noisy,30,Both,True,1,4,30,40,3600.0,30.0,1200.0,2400.0,500,0.856,1.0,82.45972380296757,69.0,172.14999999999986,441.1824801452458,441.09928305260837,545.7047028467056,1853.18,1844.0,2135.1,500.108,489.0,671.3499999999997,6734.872,6174.0,8628.0,588322.0,586875.0,683062.5,13.054,18.0,8.894,12.0,0.0,0.0,18.758,20.0
scaling_caseA_noisy,CaseA_50_50,20,0.5,noisy,30,Gossip_only,False,4,4,30,40,3600.0,30.0,1200.0,2400.0,500,0.846,1.0,75.92237740012008,66.0,149.0,432.4091350156814,430.2412290126085,527.7279916917904,1838.878,1828.5,2143.3499999999995,502.846,504.0,647.1499999999999,9408.67,9409.0,9429.0,585431.0,584250.0,686137.4999999999,13.268,18.0,8.09,11.0,0.0,0.0,0.0,0.0
scaling_caseA_noisy,CaseA_50_50,20,0.5,noisy,30,NoQ,False,1,1,30,40,3600.0,30.0,1200.0,2400.0,500,0.594,1.0,194.282,174.0,358.2999999999997,334.80379017535597,328.4070109948516,424.98182742856443,1847.406,1841.5,2121.1499999999996,488.268,482.0,649.0999999999999,2351.844,2352.0,2363.0,583918.5,582875.0,674274.9999999999,13.54,18.0,9.538,13.0,0.0,0.0,0.0,0.0
scaling_caseA_noisy,CaseA_50_50,20,0.5,noisy,30,Q_only,True,1,1,30,40,3600.0,30.0,1200.0,2400.0,500,0.62,1.0,194.984,173.0,358.2999999999997,346.20116664562374,344.0773112233728,431.7294472595676,1847.0,1841.5,2124.1499999999996,491.6,484.0,653.1499999999999,2352.086,2352.0,2363.0,584650.0,582500.0,678562.5,13.642,18.0,9.492,13.0,0.0,0.0,18.742,20.0
scaling_caseA_noisy,CaseA_50_50,50,0.5,noisy,30,Both,True,1,4,30,40,3600.0,30.0,1200.0,2400.0,500,0.514,1.0,195.31889494365944,162.5,388.0999999999999,880.1340560587123,875.3114226274192,1110.9819495351983,4799.97,4789.0,5618.15,1231.762,1215.0,1553.4499999999996,6530.892,5894.0,8575.199999999999,1507933.0,1506500.0,1756162.4999999995,12.918,17.0,11.686,16.0,0.0,0.0,45.88,50.0
scaling_caseA_noisy,CaseA_50_50,50,0.5,noisy,30,Gossip_only,False,4,4,30,40,3600.0,30.0,1200.0,2400.0,500,0.558,1.0,178.45751066270452,151.5,343.099999999999,844.6673345305026,837.0233301538974,1028.737846482545,4774.338,4777.5,5472.549999999999,1192.624,1184.0,1520.3999999999996,9408.276,9408.0,9431.0,1491740.5,1490875.0,1717824.9999999998,13.124,17.0,10.358,14.0,0.0,0.0,0.0,0.0
scaling_caseA_noisy,CaseA_50_50,50,0.5,noisy,30,NoQ,False,1,1,30,40,3600.0,30.0,1200.0,2400.0,500,0.094,0.69,682.4405797101449,660.0,1133.0,743.8926455806941,739.3102999776602,951.5625522471964,4805.802,4820.5,5611.15,1320.492,1311.0,1655.1,2352.434,2352.0,2364.0,1531573.5,1538125.0,1771412.4999999998,13.728,18.0,13.6,18.0,0.0,0.0,0.0,0.0
scaling_caseA_noisy,CaseA_50_50,50,0.5,noisy,30,Q_only,True,1,1,30,40,3600.0,30.0,1200.0,2400.0,500,0.078,0.66,667.5272727272727,635.0,1116.1,810.182150522247,806.8863183725625,1009.9958808394148,4796.076,4793.5,5631.35,1327.31,1308.0,1672.4499999999996,2352.522,2353.0,2363.0,1530846.5,1537375.0,1784712.5,13.798,18.0,13.62,19.0,0.0,0.0,46.41,50.0
scaling_caseA_noisy,CaseA_50_50,100,0.5,noisy,30,Both,True,1,4,30,40,3600.0,30.0,1200.0,2400.0,500,0.194,0.918,497.0065359477124,428.0,1019.0,1546.0187187455595,1569.5085532497615,2085.46257475391,9660.106,9642.5,11201.099999999997,2596.97,2544.0,3339.0,6510.99,5891.0,8561.15,3064269.0,3057875.0,3555087.499999999,12.952,18.0,14.58,19.049999999999955,0.0,0.0,91.312,100.0
scaling_caseA_noisy,CaseA_50_50,100,0.5,noisy,30,Gossip_only,False,4,4,30,40,3600.0,30.0,1200.0,2400.0,500,0.162,0.932,500.3834450164136,428.0,1031.75,1546.861332952045,1532.504010014236,1960.5087956413622,9711.396,9676.5,11295.25,2495.5,2483.5,3191.2,9408.566,9409.0,9431.0,3051724.0,3054125.0,3525125.0,13.424,18.0,12.228,17.0,0.0,0.0,0.0,0.0
scaling_caseA_noisy,CaseA_50_50,100,0.5,noisy,30,NoQ,False,1,1,30,40,3600.0,30.0,1200.0,2400.0,500,0.002,0.01,873.0,847.0,1083.8,1423.0290615130216,1415.1618073228747,1786.8190425448115,9688.612,9676.0,11353.35,2928.026,2894.0,3676.7999999999965,2352.072,2352.0,2363.0,3154159.5,3151750.0,3682824.9999999995,14.726,20.0,17.818,24.0,0.0,0.0,0.0,0.0
scaling_caseA_noisy,CaseA_50_50,100,0.5,noisy,30,Q_only,True,1,1,30,40,3600.0,30.0,1200.0,2400.0,500,0.002,0.014,967.5714285714286,965.0,1171.6,1597.1866162205115,1578.7439965642989,2048.376176226884,9693.752,9693.0,11270.25,2936.874,2889.5,3703.8499999999995,2351.868,2352.0,2362.0,3157656.5,3158375.0,3722925.0,14.726,20.0,17.988,24.0,0.0,0.0,91.996,100.0
