case,variant,n_runs,n_nodes,use_quarantine,gossip_pairs_normal,gossip_pairs_quarantine,net_delay_mean,net_delay_jitter,net_drop_p,epoch_len_blocks,cp_epoch_mode,cp_tiebreak,success_end_rate,recovered_rate,recovery_mean_s,recovery_p50_s,recovery_p95_s,runtime_mean_ms,gossip_pairs_mean,gossip_blocks_sent_mean,broadcast_blocks_sent_mean,total_bytes_est_mean,max_reorg_depth_mean,max_fork_peak_mean,max_equivocations_total_max_mean
CaseA_50_50,Both_1_12,500,50,True,1,12,0.8,0.2,0.02,30,height,none,0.75,1.0,97.14565392543346,82.5,193.04999999999995,1091.1423866897821,17672.048,1300.456,4812.686,1528285.5,12.818,11.218,0
CaseA_50_50,Both_1_16,500,50,True,1,16,0.8,0.2,0.02,30,height,none,0.772,1.0,84.89778374139777,73.5,173.04999999999995,1197.2407146254554,23242.436,1335.414,4795.094,1532627,12.892,11.114,0
CaseA_50_50,Both_1_4,500,50,True,1,4,0.8,0.2,0.02,30,height,none,0.514,1.0,195.31889494365944,162.5,388.0999999999999,891.1940015014261,6530.892,1231.762,4799.97,1507933,12.918,11.686,0
CaseA_50_50,Both_1_8,500,50,True,1,8,0.8,0.2,0.02,30,height,none,0.698,1.0,120.87388635661422,102.0,254.0999999999999,995.3623385587707,12101.666,1258.674,4795.37,1513511,12.8,11.278,0
CaseA_50_50,Gossip_only_12_12,500,50,False,12,12,0.8,0.2,0.02,30,height,none,0.802,1.0,83.64655767776962,69.0,173.14999999999986,1149.5326304771006,28226.218,1292.782,4783.846,1519157,13.228,9.418,0
CaseA_50_50,Gossip_only_16_16,500,50,False,16,16,0.8,0.2,0.02,30,height,none,0.798,1.0,75.29399375350509,62.0,172.24999999999977,1297.9528132947162,37633.832,1347.8,4809.68,1539370,13.33,9.248,0
CaseA_50_50,Gossip_only_4_4,500,50,False,4,4,0.8,0.2,0.02,30,height,none,0.558,1.0,178.45751066270452,151.5,343.099999999999,837.0571969468147,9408.276,1192.624,4774.338,1491740.5,13.124,10.358,0
CaseA_50_50,Gossip_only_8_8,500,50,False,8,8,0.8,0.2,0.02,30,height,none,0.712,1.0,110.94751476504496,93.0,215.0999999999999,985.2647543717176,18816.666,1232.454,4793.576,1506507.5,13.186,9.532,0
CaseA_50_50,NoQ_1_1,500,50,False,1,1,0.8,0.2,0.02,30,height,none,0.094,0.69,682.4405797101449,660.0,1133.0,737.1410255283117,2352.434,1320.492,4805.802,1531573.5,13.728,13.6,0
CaseA_50_50,Q_only_1_1,500,50,True,1,1,0.8,0.2,0.02,30,height,none,0.078,0.66,667.5272727272727,635.0,1116.1,800.7824261058122,2352.522,1327.31,4796.076,1530846.5,13.798,13.62,0
CaseB_80_20,Both_1_12,500,50,True,1,12,0.8,0.2,0.02,30,height,none,0.77,1.0,85.51456351455998,70.0,190.04999999999995,1100.857994062826,17704.766,973.312,5137.23,1527635.5,7.404,12.524,0
CaseB_80_20,Both_1_16,500,50,True,1,16,0.8,0.2,0.02,30,height,none,0.81,1.0,73.54816340779632,62.5,157.19999999999982,1185.2647049697116,23287.336,1018.548,5131.208,1537439,7.35,12.482,0
CaseB_80_20,Both_1_4,500,50,True,1,4,0.8,0.2,0.02,30,height,none,0.542,1.0,167.6741602072271,141.0,328.2499999999998,891.5203424282372,6539.286,922.586,5144.252,1516709.5,7.356,13.024,0
CaseB_80_20,Both_1_8,500,50,True,1,8,0.8,0.2,0.02,30,height,none,0.694,1.0,105.6538770401365,89.0,220.14999999999986,976.97992899362,12122.202,939.428,5133.8,1518307,7.444,12.59,0
CaseB_80_20,Gossip_only_12_12,500,50,False,12,12,0.8,0.2,0.02,30,height,none,0.778,1.0,77.76480484349825,62.0,178.14999999999986,1144.2437413102016,28225.488,959.516,5131.99,1522876.5,7.454,10.674,0
CaseB_80_20,Gossip_only_16_16,500,50,False,16,16,0.8,0.2,0.02,30,height,none,0.808,1.0,66.48710139353193,55.0,137.04999999999995,1285.8970856675878,37633.406,1005.658,5125.962,1532905,7.352,10.61,0
CaseB_80_20,Gossip_only_4_4,500,50,False,4,4,0.8,0.2,0.02,30,height,none,0.508,1.0,157.764,130.0,327.14999999999986,847.7948930850253,9408.526,884.468,5126.268,1502684,7.28,11.608,0
CaseB_80_20,Gossip_only_8_8,500,50,False,8,8,0.8,0.2,0.02,30,height,none,0.74,1.0,101.1870413619664,85.0,210.14999999999986,996.7013260629028,18817.048,918.286,5154.83,1518279,7.37,10.848,0
CaseB_80_20,NoQ_1_1,500,50,False,1,1,0.8,0.2,0.02,30,height,none,0.088,0.712,626.6460674157304,587.5,1103.75,738.0354781495407,2352.184,1006.982,5143.384,1537591.5,7.632,14.864,0
CaseB_80_20,Q_only_1_1,500,50,True,1,1,0.8,0.2,0.02,30,height,none,0.084,0.714,641.0588235294117,597.0,1122.4,790.5084463274106,2352.602,1002.248,5138.356,1535151,7.516,15.062,0
