case,cell,is_factorial,head_label,sync_label,n_runs,final_agreement_rate,recovery_by_horizon_rate,recovery_mean_s,recovery_p95_s,mean_budget_pair_draws,mean_preexchange_surviving_pairs,mean_gossip_blocks_sent,mean_total_bytes_proxy,mean_adaptive_high_ticks,mean_adaptive_low_ticks,runtime_mean_ms
CaseA_50_50,BranchScoreOnly__Adaptive,1,BranchScoreOnly,Adaptive,1000,0.864,1.0,79.65429366970332,153.0,6847.797,6711.026,502.55,588253.0,1482.599,917.401,138.62191113800054
CaseA_50_50,BranchScoreOnly__FixedHigh,1,BranchScoreOnly,FixedHigh,1000,0.837,1.0,77.79600658339459,152.04999999999995,9600.0,9408.421,508.144,586447.25,0.0,0.0,146.1972549939901
CaseA_50_50,BranchScoreOnly__FixedLow,1,BranchScoreOnly,FixedLow,1000,0.591,1.0,189.891,344.04999999999995,2400.0,2351.975,485.68,582089.75,0.0,0.0,103.79723429202386
CaseA_50_50,Full__Adaptive,1,Full,Adaptive,1000,0.864,1.0,79.65429366970332,153.0,6847.797,6711.026,502.55,588253.0,1482.599,917.401,140.16004626401082
CaseA_50_50,Full__FixedHigh,1,Full,FixedHigh,1000,0.837,1.0,77.79600658339459,152.04999999999995,9600.0,9408.421,508.144,586447.25,0.0,0.0,146.674657166006
CaseA_50_50,Full__FixedLow,1,Full,FixedLow,1000,0.591,1.0,189.891,344.04999999999995,2400.0,2351.975,485.68,582089.75,0.0,0.0,105.27564261600583
CaseA_50_50,Full__LegacyBoth_reference,0,Full,LegacyBoth,1000,0.848,1.0,82.56959036239161,172.0,6848.214,6711.271,503.049,588233.5,0.0,0.0,144.9086685129878
CaseA_50_50,HeightOnly__Adaptive,1,HeightOnly,Adaptive,1000,0.849,1.0,76.85626242609538,146.04999999999995,6847.797,6711.1,502.886,586471.25,1482.599,917.401,128.23345748798874
CaseA_50_50,HeightOnly__FixedHigh,1,HeightOnly,FixedHigh,1000,0.868,1.0,75.19728941643478,146.0,9600.0,9408.123,506.353,585475.0,0.0,0.0,133.97315017500932
CaseA_50_50,HeightOnly__FixedLow,1,HeightOnly,FixedLow,1000,0.614,1.0,183.5372188255985,331.0,2400.0,2352.026,483.155,580519.75,0.0,0.0,91.39395708599295
CaseB_80_20,BranchScoreOnly__Adaptive,1,BranchScoreOnly,Adaptive,1000,0.86,1.0,71.886861655241,154.0,6850.158,6713.136,371.291,587583.75,1483.386,916.614,138.13484993800466
CaseB_80_20,BranchScoreOnly__FixedHigh,1,BranchScoreOnly,FixedHigh,1000,0.858,1.0,69.78639941946967,154.04999999999995,9600.0,9408.32,379.077,590606.5,0.0,0.0,145.6401148049954
CaseB_80_20,BranchScoreOnly__FixedLow,1,BranchScoreOnly,FixedLow,1000,0.599,1.0,167.8993250182583,329.0999999999999,2400.0,2352.047,361.228,586753.25,0.0,0.0,103.87312166301854
CaseB_80_20,Full__Adaptive,1,Full,Adaptive,1000,0.86,1.0,71.886861655241,154.0,6850.158,6713.136,371.291,587583.75,1483.386,916.614,139.2611203659908
CaseB_80_20,Full__FixedHigh,1,Full,FixedHigh,1000,0.858,1.0,69.78639941946967,154.04999999999995,9600.0,9408.32,379.077,590606.5,0.0,0.0,147.70528576700235
CaseB_80_20,Full__FixedLow,1,Full,FixedLow,1000,0.599,1.0,167.8993250182583,329.0999999999999,2400.0,2352.047,361.228,586753.25,0.0,0.0,104.56978747299218
CaseB_80_20,Full__LegacyBoth_reference,0,Full,LegacyBoth,1000,0.847,1.0,75.04643930307333,166.0,6850.587,6713.862,371.646,587950.25,0.0,0.0,142.49111333197834
CaseB_80_20,HeightOnly__Adaptive,1,HeightOnly,Adaptive,1000,0.875,1.0,70.10534002629336,145.04999999999995,6850.158,6713.331,367.316,589075.0,1483.386,916.614,130.04705572999865
CaseB_80_20,HeightOnly__FixedHigh,1,HeightOnly,FixedHigh,1000,0.861,1.0,68.20689612851469,142.04999999999995,9600.0,9408.28,376.223,586952.75,0.0,0.0,136.15555212600066
CaseB_80_20,HeightOnly__FixedLow,1,HeightOnly,FixedLow,1000,0.642,1.0,167.51223643746417,336.04999999999995,2400.0,2352.435,360.727,586346.5,0.0,0.0,93.79690821300483
